noise,num_samples,strategy,count
5,400,"(1, 1, 0, 1, 1)",200
5,400,"(1, 0, 0, 0, 1)",24
5,400,"(0, 0, 0, 1, 0)",67
5,400,"(1, 0, 0, 1, 0)",70
5,400,"(0, 0, 0, 1, 1)",20
5,400,"(0, 0, 1, 1, 0)",66
5,400,"(0, 0, 1, 1, 1)",69
5,400,"(1, 0, 1, 1, 1)",71
5,400,"(1, 1, 0, 0, 1)",70
5,400,"(0, 1, 0, 1, 0)",69
5,400,"(1, 1, 0, 1, 0)",21
5,400,"(0, 1, 1, 0, 1)",25
5,400,"(1, 1, 1, 0, 1)",24
5,400,"(0, 1, 1, 1, 1)",71
5,400,"(1, 0, 0, 0, 0)",22
5,400,"(1, 0, 1, 0, 0)",19
5,400,"(1, 0, 1, 0, 1)",20
5,400,"(1, 0, 1, 1, 0)",21
5,400,"(0, 1, 0, 0, 0)",21
5,400,"(1, 1, 0, 0, 0)",22
5,400,"(0, 1, 0, 0, 1)",20
5,400,"(0, 1, 1, 0, 0)",19
5,400,"(0, 1, 1, 1, 0)",21
5,400,"(1, 1, 1, 1, 1)",23
5,400,"(0, 0, 0, 0, 1)",5
5,400,"(0, 0, 1, 0, 0)",6
5,400,"(0, 0, 1, 0, 1)",6
5,400,"(1, 1, 1, 0, 0)",5
5,400,"(1, 1, 1, 1, 0)",5
5,400,"(0, 0, 0, 0, 0)",6
5,450,"(0, 0, 0, 1, 0)",54
5,450,"(1, 0, 0, 1, 0)",55
5,450,"(1, 0, 0, 1, 1)",159
5,450,"(0, 0, 1, 1, 0)",51
5,450,"(0, 0, 1, 1, 1)",55
5,450,"(1, 0, 1, 1, 1)",60
5,450,"(1, 1, 0, 0, 1)",56
5,450,"(0, 1, 0, 1, 0)",57
5,450,"(0, 1, 0, 1, 1)",158
5,450,"(1, 1, 0, 1, 1)",200
5,450,"(0, 1, 1, 1, 1)",57
5,450,"(1, 0, 0, 0, 0)",21
5,450,"(1, 0, 0, 0, 1)",20
5,450,"(1, 0, 1, 0, 0)",18
5,450,"(1, 0, 1, 1, 0)",19
5,450,"(0, 0, 0, 1, 1)",17
5,450,"(1, 0, 1, 0, 1)",19
5,450,"(0, 1, 0, 0, 0)",18
5,450,"(1, 1, 0, 0, 0)",18
5,450,"(0, 1, 0, 0, 1)",18
5,450,"(1, 1, 0, 1, 0)",18
5,450,"(0, 1, 1, 0, 0)",18
5,450,"(1, 1, 1, 0, 1)",18
5,450,"(0, 1, 1, 1, 0)",18
5,450,"(1, 1, 1, 1, 1)",19
5,450,"(0, 0, 0, 0, 0)",6
5,450,"(0, 0, 1, 0, 0)",6
5,450,"(0, 0, 1, 0, 1)",5
5,450,"(1, 1, 1, 0, 0)",5
